/or_vomiting,28_weeks_of_pregnancy.,abdominal_pain,aches,anxious,are_pregnant,bleeding_from_the_nose_or_gums,blurry_vision,called_jaundice,can't_spread_tb_to_others,can_be_severe.,changing_moods_or_behaviors,chest_pain,chest_tightness,chills,confused_after_a_migraine._this_can_last_up_to_a_day.,coping_behaviors_differently_than_women._rather_than_sad,cough,cough._they_might_seem_sick,coughing,coughing_up_blood_or_sputum,cramps,dark_yellow_urine,depression_doesn't_look_the_same_on_everyone._the_type,diarrhea,diarrhea._this_is_more_common_in_children.,don't_have_symptoms,especially_at_night_or_early_morning,even_death._people_are_more_likely_to_develop_severe_dengue_if_they_have_had_dengue_before,fatigue,feeling_hopeless,"feeling_sad_or_""empty""",feeling_tired,feeling_very_hungry,feeling_very_thirsty,feeling_very_tired,fever,"fever
night_sweats_
losing_weight_without_trying
loss_of_appetite
weakness_or_fatigue",fever_or_feeling_feverish/chills,fluid_retention,friends,get_immediate_medical_care:,gray-_or_clay-colored_stools,have_a_fever,having_aches,having_thoughts_of_death_or_suicide,headache._a_migraine_usually_starts_gradually,headaches,hepatitis_b_screening_is_important,hepatitis_c_screening_is_important,include:,including_at_night,increased_sensitivity_to_light,increased_urination.,increasing_use_of_alcohol_or_drugs,internal_bleeding,irritable,isolating_from_family,jaundice,joint_pain,losing_interest_in_favorite_activities,losing_weight_without_trying,loss_of_appetite,medical_conditions._some_medicines,migraines_are_more_common_in_the_morning;_people_often_wake_up_with_them._some_people_have_migraines_at_predictable_times,most_people_who_have_tb_germs_in_their_bodies_don't_get_sick_with_tb_disease._instead,muscle_or_body_aches,nausea,need_to_take_medicine_to_prevent_getting_sick_with_active_tb_disease_in_the_future,night_sweats,noise,number_of_symptoms_of_depression_can_vary,numbness_or_tingling_in_the_feet_or_h,odors,often,older_adults,or_are_infants.,or_be_restless.,or_blood_in_the_stool,or_digestive_problems,or_guilty,or_irritable,or_not_enough,or_not_wanting_to_eat_at_all,or_sneeze,overeating,pains,people_with_hepatitis_b_don't_have_symptoms._adults,rash,restless,runny_or_stuffy_nose,severe_abdominal__pain,sex._men_often_show_symptoms,shortness_of_breath,skin,sleeping_too_much,some_people_with_acute_hepatitis_b_have_symptoms_2_to_5_months_after_infection._these_symptoms_can_include:,sometimes_people_have_trouble_figuring_out_whether_they_have_a_cold_or_the_flu._there_are_differences_between_them:,sore_throat,sores_that_do_not_heal,such_as_before_menstruation_or_on_weekends_following_a_stressful_week_of_work.,such_as_food_cravings,symptoms,symptoms_of_depression_are_ongoing,symptoms_of_the_flu_come_on_suddenly,tenderness,uncontrollable_yawning,unexplained_mood_changes,urinating__more_often,usually_with_phlegm,vomiting,vomiting_at_least_3_times_in_24_hours,vomiting_blood,watch_for_signs,weak,weakness_or_fatigue,wheezing,with_no_energy,with_tb_disease,with_type_2_diabetes,yellowish_eyes,disease
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Influenza
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COVID-19
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Tuberculosis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaria
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dengue fever
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chickenpox
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Measles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Typhoid fever
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hepatitis B
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hepatitis C
